date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side,full_date
12/12,2317,港商野村,1560,662,9,653,2.2,1,buy,2025-12-15
12/12,2317,富邦證券,9600,428,2133,-1705,5.74,1,sell,2025-12-15
12/12,2317,國泰證券,8880,621,49,572,1.93,2,buy,2025-12-15
12/12,2317,統一,5850,305,1761,-1456,4.9,2,sell,2025-12-15
12/12,2317,永豐金證券,0039004100300030,750,306,444,1.5,3,buy,2025-12-15
12/12,2317,台灣摩根士丹利,1470,478,1821,-1343,4.52,3,sell,2025-12-15
12/12,2317,美商高盛,1480,2468,2031,437,1.47,4,buy,2025-12-15
12/12,2317,凱基-中山,9229,36,1124,-1088,3.67,4,sell,2025-12-15
12/12,2317,元大-頭份,0039003800330055,415,23,392,1.32,5,buy,2025-12-15
12/12,2317,永豐金-匯立,0039004100380031,21,615,-594,2.0,5,sell,2025-12-15
12/12,2317,新加坡商瑞銀,1650,1668,1372,296,1.0,6,buy,2025-12-15
12/12,2317,玉山證券,8840,43,576,-533,1.8,6,sell,2025-12-15
12/12,2317,台新證券,8150,504,226,278,0.94,7,buy,2025-12-15
12/12,2317,香港上海匯豐,8960,489,986,-497,1.67,7,sell,2025-12-15
12/12,2317,凱基-台北,9268,1077,806,271,0.91,8,buy,2025-12-15
12/12,2317,元大證券,9800,717,994,-277,0.93,8,sell,2025-12-15
12/12,2317,元大-土城,9897,216,6,210,0.71,9,buy,2025-12-15
12/12,2317,第一金-高雄,5383,16,272,-256,0.86,9,sell,2025-12-15
12/12,2317,大和國泰,8890,220,22,198,0.67,10,buy,2025-12-15
12/12,2317,群益金鼎-台中,9184,17,202,-185,0.62,10,sell,2025-12-15
12/12,2317,凱基,9200,722,529,193,0.65,11,buy,2025-12-15
12/12,2317,國票證券,7790,29,206,-177,0.6,11,sell,2025-12-15
12/12,2317,美林,1440,1499,1313,186,0.63,12,buy,2025-12-15
12/12,2317,國票-敦北法人,0037003700390063,7,111,-104,0.35,12,sell,2025-12-15
12/12,2317,花旗環球,1590,216,54,162,0.55,13,buy,2025-12-15
12/12,2317,亞東-板橋,2181,13,103,-90,0.3,13,sell,2025-12-15
12/12,2317,元大-樹林,003900380039006a,161,10,151,0.51,14,buy,2025-12-15
12/12,2317,亞東,2180,19,108,-89,0.3,14,sell,2025-12-15
12/12,2317,國票-南科,0037003700390065,155,20,135,0.45,15,buy,2025-12-15
12/12,2317,合庫-台中,1021,36,117,-81,0.27,15,sell,2025-12-15
12/12,2454,凱基,9200,244,32,212,3.92,1,buy,2025-12-15
12/12,2454,港商野村,1560,17,467,-450,8.33,1,sell,2025-12-15
12/12,2454,群益金鼎-大安,0039003100380065,155,0,155,2.87,2,buy,2025-12-15
12/12,2454,富邦證券,9600,19,392,-373,6.9,2,sell,2025-12-15
12/12,2454,凱基-台北,9268,342,203,139,2.57,3,buy,2025-12-15
12/12,2454,國票-敦北法人,0037003700390063,0,251,-251,4.64,3,sell,2025-12-15
12/12,2454,國泰證券,8880,205,70,135,2.5,4,buy,2025-12-15
12/12,2454,台新證券,8150,55,293,-238,4.4,4,sell,2025-12-15
12/12,2454,群益金鼎-敦南,9101,123,1,122,2.26,5,buy,2025-12-15
12/12,2454,永豐金證券,0039004100300030,118,270,-152,2.81,5,sell,2025-12-15
12/12,2454,台灣摩根士丹利,1470,297,187,110,2.04,6,buy,2025-12-15
12/12,2454,摩根大通,8440,198,321,-123,2.28,6,sell,2025-12-15
12/12,2454,新加坡商瑞銀,1650,297,189,108,2.0,7,buy,2025-12-15
12/12,2454,美好-富順,003500320036004b,1,50,-49,0.91,7,sell,2025-12-15
12/12,2454,元大證券,9800,289,219,70,1.3,8,buy,2025-12-15
12/12,2454,大和國泰,8890,0,36,-36,0.67,8,sell,2025-12-15
12/12,2454,元富,5920,68,4,64,1.18,9,buy,2025-12-15
12/12,2454,永豐金-匯立,0039004100380031,2,33,-31,0.57,9,sell,2025-12-15
12/12,2454,康和,8450,52,0,52,0.96,10,buy,2025-12-15
12/12,2454,中國信託,6160,10,37,-27,0.5,10,sell,2025-12-15
12/12,2454,香港上海匯豐,8960,53,1,52,0.96,11,buy,2025-12-15
12/12,2454,國泰-松江,8883,5,27,-22,0.41,11,sell,2025-12-15
12/12,2454,群益金鼎,9100,55,4,51,0.94,12,buy,2025-12-15
12/12,2454,第一金-光復,0035003300380043,0,17,-17,0.31,12,sell,2025-12-15
12/12,2454,永豐金-信義,0039004100390052,51,2,49,0.91,13,buy,2025-12-15
12/12,2454,統一-城中,5854,3,19,-16,0.3,13,sell,2025-12-15
12/12,2454,統一,5850,79,35,44,0.81,14,buy,2025-12-15
12/12,2454,元大-土城,9897,1,16,-15,0.28,14,sell,2025-12-15
12/12,2454,港商麥格理,1360,32,0,32,0.59,15,buy,2025-12-15
12/12,2454,兆豐-新竹,0037003000300056,5,17,-12,0.22,15,sell,2025-12-15
12/12,2308,新加坡商瑞銀,1650,612,83,529,5.43,1,buy,2025-12-15
12/12,2308,港商麥格理,1360,3,845,-842,8.64,1,sell,2025-12-15
12/12,2308,美商高盛,1480,726,259,467,4.79,2,buy,2025-12-15
12/12,2308,台灣摩根士丹利,1470,628,1435,-807,8.28,2,sell,2025-12-15
12/12,2308,華南永昌-彰化,9363,304,1,303,3.11,3,buy,2025-12-15
12/12,2308,大和國泰,8890,5,637,-632,6.49,3,sell,2025-12-15
12/12,2308,港商野村,1560,306,91,215,2.21,4,buy,2025-12-15
12/12,2308,富邦證券,9600,44,502,-458,4.7,4,sell,2025-12-15
12/12,2308,凱基,9200,332,142,190,1.95,5,buy,2025-12-15
12/12,2308,統一,5850,87,343,-256,2.63,5,sell,2025-12-15
12/12,2308,凱基-台北,9268,507,319,188,1.93,6,buy,2025-12-15
12/12,2308,美林,1440,230,464,-234,2.4,6,sell,2025-12-15
12/12,2308,永豐金證券,0039004100300030,171,19,152,1.56,7,buy,2025-12-15
12/12,2308,永豐金-匯立,0039004100380031,79,257,-178,1.83,7,sell,2025-12-15
12/12,2308,元大證券,9800,528,410,118,1.21,8,buy,2025-12-15
12/12,2308,兆豐證券,7000,8,139,-131,1.34,8,sell,2025-12-15
12/12,2308,香港上海匯豐,8960,107,2,105,1.08,9,buy,2025-12-15
12/12,2308,摩根大通,8440,423,521,-98,1.01,9,sell,2025-12-15
12/12,2308,國泰證券,8880,109,13,96,0.99,10,buy,2025-12-15
12/12,2308,玉山證券,8840,17,103,-86,0.88,10,sell,2025-12-15
12/12,2308,國泰-敦南,8888,137,90,47,0.48,11,buy,2025-12-15
12/12,2308,元富-城中,0035003900320045,4,63,-59,0.61,11,sell,2025-12-15
12/12,2308,第一金,5380,51,15,36,0.37,12,buy,2025-12-15
12/12,2308,國票-敦北法人,0037003700390063,42,72,-30,0.31,12,sell,2025-12-15
12/12,2308,新光,8560,86,51,35,0.36,13,buy,2025-12-15
12/12,2308,康和,8450,5,34,-29,0.3,13,sell,2025-12-15
12/12,2308,台新證券,8150,54,21,33,0.34,14,buy,2025-12-15
12/12,2308,元大-館前,003900380034004b,3,30,-27,0.28,14,sell,2025-12-15
12/12,2308,凱基-民權,0039003200310043,32,2,30,0.31,15,buy,2025-12-15
12/12,2308,第一金-自由,0035003300380045,2,25,-23,0.24,15,sell,2025-12-15
12/12,2382,摩根大通,8440,780,88,692,10.9,1,buy,2025-12-15
12/12,2382,元大證券,9800,139,914,-775,12.21,1,sell,2025-12-15
12/12,2382,台灣摩根士丹利,1470,543,52,491,7.73,2,buy,2025-12-15
12/12,2382,港商麥格理,1360,0,413,-413,6.5,2,sell,2025-12-15
12/12,2382,元富,5920,285,5,280,4.41,3,buy,2025-12-15
12/12,2382,法銀巴黎,8900,49,436,-387,6.1,3,sell,2025-12-15
12/12,2382,凱基-台北,9268,345,65,280,4.41,4,buy,2025-12-15
12/12,2382,國泰證券,8880,6,204,-198,3.12,4,sell,2025-12-15
12/12,2382,美商高盛,1480,873,673,200,3.15,5,buy,2025-12-15
12/12,2382,台新證券,8150,38,219,-181,2.85,5,sell,2025-12-15
12/12,2382,港商野村,1560,119,0,119,1.87,6,buy,2025-12-15
12/12,2382,富邦證券,9600,10,191,-181,2.85,6,sell,2025-12-15
12/12,2382,臺銀,1040,66,1,65,1.02,7,buy,2025-12-15
12/12,2382,第一金,5380,10,146,-136,2.14,7,sell,2025-12-15
12/12,2382,花旗環球,1590,66,1,65,1.02,8,buy,2025-12-15
12/12,2382,玉山證券,8840,7,143,-136,2.14,8,sell,2025-12-15
12/12,2382,群益金鼎,9100,53,0,53,0.83,9,buy,2025-12-15
12/12,2382,新光,8560,24,145,-121,1.91,9,sell,2025-12-15
12/12,2382,永豐金證券,0039004100300030,61,11,50,0.79,10,buy,2025-12-15
12/12,2382,美林,1440,159,251,-92,1.45,10,sell,2025-12-15
12/12,2382,兆豐證券,7000,46,0,46,0.72,11,buy,2025-12-15
12/12,2382,富邦-新板,0039003600310048,5,91,-86,1.35,11,sell,2025-12-15
12/12,2382,凱基-松山,9217,28,2,26,0.41,12,buy,2025-12-15
12/12,2382,元大-大天母,9893,2,58,-56,0.88,12,sell,2025-12-15
12/12,2382,國泰-松江,8883,25,3,22,0.35,13,buy,2025-12-15
12/12,2382,華南永昌,9300,3,56,-53,0.83,13,sell,2025-12-15
12/12,2382,玉山-台南,8847,21,1,20,0.32,14,buy,2025-12-15
12/12,2382,北城證券,7750,2,50,-48,0.76,14,sell,2025-12-15
12/12,2382,華南永昌-敦南,9347,22,2,20,0.32,15,buy,2025-12-15
12/12,2382,中國信託,6160,24,57,-33,0.52,15,sell,2025-12-15
12/12,2891,美商高盛,1480,11520,5029,6491,13.34,1,buy,2025-12-15
12/12,2891,永豐金證券,0039004100300030,435,1791,-1356,2.79,1,sell,2025-12-15
12/12,2891,花旗環球,1590,3408,47,3361,6.91,2,buy,2025-12-15
12/12,2891,台新證券,8150,34,770,-736,1.51,2,sell,2025-12-15
12/12,2891,富邦證券,9600,2530,4,2526,5.19,3,buy,2025-12-15
12/12,2891,聯邦-大業,8586,0,705,-705,1.45,3,sell,2025-12-15
12/12,2891,新加坡商瑞銀,1650,4463,2480,1983,4.08,4,buy,2025-12-15
12/12,2891,統一,5850,73,773,-700,1.44,4,sell,2025-12-15
12/12,2891,凱基-台北,9268,3523,1755,1768,3.63,5,buy,2025-12-15
12/12,2891,中國信託,6160,27,580,-553,1.14,5,sell,2025-12-15
12/12,2891,元大-中和,0039003800390065,1754,29,1725,3.55,6,buy,2025-12-15
12/12,2891,國泰-敦南,8888,61,602,-541,1.11,6,sell,2025-12-15
12/12,2891,永豐金-匯立,0039004100380031,1620,0,1620,3.33,7,buy,2025-12-15
12/12,2891,元大-鹿港,0039003800390053,0,511,-511,1.05,7,sell,2025-12-15
12/12,2891,凱基,9200,1587,41,1546,3.18,8,buy,2025-12-15
12/12,2891,永豐金-敦北,0039004100380039,8,345,-337,0.69,8,sell,2025-12-15
12/12,2891,香港上海匯豐,8960,1128,0,1128,2.32,9,buy,2025-12-15
12/12,2891,元大-南投,0039003800310044,12,332,-320,0.66,9,sell,2025-12-15
12/12,2891,群益金鼎,9100,1796,845,951,1.95,10,buy,2025-12-15
12/12,2891,中國信託-松江,6167,1,311,-310,0.64,10,sell,2025-12-15
12/12,2891,元富,5920,858,44,814,1.67,11,buy,2025-12-15
12/12,2891,元大-六合,0039003800320043,2,308,-306,0.63,11,sell,2025-12-15
12/12,2891,元大證券,9800,1551,752,799,1.64,12,buy,2025-12-15
12/12,2891,京城,8490,50,343,-293,0.6,12,sell,2025-12-15
12/12,2891,兆豐證券,7000,802,114,688,1.41,13,buy,2025-12-15
12/12,2891,元大-信義,003900380039006d,0,285,-285,0.59,13,sell,2025-12-15
12/12,2891,兆豐-寶成,0037003000300072,551,6,545,1.12,14,buy,2025-12-15
12/12,2891,臺銀-民權,1043,8,279,-271,0.56,14,sell,2025-12-15
12/12,2891,元大-南京,9862,515,84,431,0.89,15,buy,2025-12-15
12/12,2891,元大-三重,0039003800380043,0,269,-269,0.55,15,sell,2025-12-15
12/12,2881,台灣摩根士丹利,1470,2527,365,2162,9.97,1,buy,2025-12-15
12/12,2881,花旗環球,1590,50,1381,-1331,6.14,1,sell,2025-12-15
12/12,2881,美林,1440,1910,116,1794,8.28,2,buy,2025-12-15
12/12,2881,摩根大通,8440,986,1627,-641,2.96,2,sell,2025-12-15
12/12,2881,元大證券,9800,1731,499,1232,5.68,3,buy,2025-12-15
